"
Time","
Stock Daily Close - Unadjusted Prices USA OTC OTC Bulletin Board Markets IWSY Imageware Systems Inc  -   - USD"
"20000501",8.25
"20000502",8.13
"20000503",7.75
"20000504",7.0
"20000505",7.25
"20000508",7.25
"20000509",7.0
"20000510",6.75
"20000511",7.0
"20000512",7.0
"20000515",7.0
"20000516",7.0
"20000517",6.94
"20000518",7.0
"20000519",6.5
"20000522",6.0
"20000523",6.0
"20000524",5.94
"20000525",5.94
"20000526",5.75
"20000530",6.31
"20000531",6.13
"20000601",6.0
"20000602",6.38
"20000605",6.25
"20000606",6.25
"20000607",6.0
"20000608",6.0
"20000609",6.13
"20000612",6.0
"20000613",6.0
"20000614",6.13
"20000615",6.0
"20000616",5.75
"20000619",6.0
"20000620",5.88
"20000621",5.88
"20000622",6.0
"20000623",6.13
"20000626",6.06
"20000627",6.31
"20000628",6.25
"20000629",7.13
"20000630",7.81
"20000703",8.38
"20000705",8.81
"20000706",9.06
"20000707",10.0
"20000710",9.56
"20000711",9.06
"20000712",9.56
"20000713",9.5
"20000714",9.38
"20000717",9.25
"20000718",9.38
"20000719",9.25
"20000720",9.25
"20000721",9.13
"20000724",9.0
"20000725",9.13
"20000726",9.31
"20000727",9.13
"20000728",8.38
"20000731",8.38
"20000801",8.13
"20000802",8.25
"20000803",8.5
"20000804",8.63
"20000807",9.0
"20000808",9.38
"20000809",9.5
"20000810",9.31
"20000811",9.88
"20000814",11.88
"20000815",11.69
"20000816",11.69
"20000817",11.13
"20000818",12.25
"20000821",13.06
"20000822",12.63
"20000823",13.38
"20000824",13.69
"20000825",13.63
"20000828",13.25
"20000829",14.38
"20000830",15.44
"20000831",16.0
"20000901",15.5
"20000905",15.06
"20000906",14.94
"20000907",14.63
"20000908",15.0
"20000911",14.5
"20000912",14.13
"20000913",13.63
"20000914",13.88
"20000915",13.88
"20000918",13.0
"20000919",14.56
"20000920",14.81
"20000921",14.69
"20000922",15.75
"20000925",15.63
"20000926",14.69
"20000927",14.88
"20000928",14.5
"20000929",13.75
"20001002",12.88
"20001003",11.63
"20001004",11.69
"20001005",12.38
"20001006",11.63
"20001009",12.0
"20001010",11.88
"20001011",11.5
"20001012",11.0
"20001013",11.25
"20001016",11.25
"20001017",10.13
"20001018",10.75
"20001019",10.38
"20001020",11.38
"20001023",11.0
"20001024",10.81
"20001025",10.88
"20001026",10.5
"20001027",10.25
"20001030",9.88
"20001031",9.63
"20001101",9.5
"20001102",10.0
"20001103",10.63
"20001106",10.81
"20001107",11.19
"20001108",11.13
"20001109",10.81
"20001110",10.63
"20001113",9.5
"20001114",9.13
"20001115",7.88
"20001116",7.81
"20001117",7.94
"20001120",7.44
"20001121",7.88
"20001122",7.63
"20001124",7.75
"20001127",7.5
"20001128",7.0
"20001129",6.0
"20001130",6.19
"20001201",6.13
"20001204",5.63
"20001205",5.75
"20001206",5.31
"20001207",5.06
"20001208",5.13
"20001211",6.0
"20001212",5.94
"20001213",6.0
"20001214",5.5
"20001215",5.0
"20001218",5.13
"20001219",5.0
"20001220",4.88
"20001221",4.75
"20001222",4.13
"20001226",4.13
"20001227",4.38
"20001228",4.44
"20001229",4.75
"20010102",4.69
"20010103",5.25
"20010104",5.5
"20010105",5.0
"20010108",4.88
"20010109",5.0
"20010110",5.0
"20010111",5.25
"20010112",5.5
"20010116",5.38
"20010117",5.56
"20010118",5.56
"20010119",5.63
"20010122",5.38
"20010123",5.38
"20010124",5.63
"20010125",5.69
"20010126",5.88
"20010129",6.25
"20010130",6.5
"20010131",6.5
"20010201",6.7
"20010202",6.76
"20010205",6.75
"20010206",6.6
"20010207",6.55
"20010208",6.4
"20010209",6.45
"20010212",6.4
"20010213",6.49
"20010214",6.45
"20010215",6.44
"20010216",6.45
"20010220",6.5
"20010221",6.6
"20010222",6.25
"20010223",5.15
"20010226",5.3
"20010227",5.3
"20010228",5.5
"20010301",6.0
"20010302",6.05
"20010305",6.23
"20010306",6.2
"20010307",6.1
"20010308",6.0
"20010309",5.37
"20010312",4.95
"20010313",4.9
"20010314",4.9
"20010315",4.95
"20010316",4.25
"20010319",4.24
"20010320",4.3
"20010321",4.24
"20010322",4.2
"20010323",4.25
"20010326",4.5
"20010327",4.59
"20010328",4.55
"20010329",4.55
"20010330",4.75
"20010402",4.7
"20010403",4.6
"20010404",4.5
"20010405",4.25
"20010406",4.25
"20010409",4.25
"20010410",4.25
"20010411",4.45
"20010412",4.54
"20010416",4.78
"20010417",4.58
"20010418",4.75
"20010419",4.3
"20010420",4.74
"20010423",4.69
"20010424",5.07
"20010425",5.44
"20010426",5.49
